======================= Mutual Information =========================

   SNR        BPSK        QPSK      16 QAM      64 QAM     256 QAM
 -45.0   0.0000445   0.0000480   0.0000382   0.0000344   0.0000342
 -44.9   0.0000560   0.0000369   0.0000419   0.0000345   0.0000357
 -44.8   0.0000399   0.0000459   0.0000380   0.0000364   0.0000362
 -44.7   0.0000489   0.0000456   0.0000434   0.0000369   0.0000387
 -44.6   0.0000537   0.0000496   0.0000415   0.0000361   0.0000370
 -44.5   0.0000433   0.0000476   0.0000400   0.0000375   0.0000383
 -44.4   0.0000454   0.0000529   0.0000388   0.0000410   0.0000394
 -44.3   0.0000612   0.0000451   0.0000423   0.0000412   0.0000402
 -44.2   0.0000502   0.0000474   0.0000472   0.0000416   0.0000423
 -44.1   0.0000440   0.0000615   0.0000388   0.0000431   0.0000426
 -44.0   0.0000627   0.0000642   0.0000438   0.0000410   0.0000442
 -43.9   0.0000577   0.0000507   0.0000450   0.0000456   0.0000432
 -43.8   0.0000471   0.0000633   0.0000473   0.0000469   0.0000452
 -43.7   0.0000653   0.0000669   0.0000467   0.0000475   0.0000469
 -43.6   0.0000638   0.0000785   0.0000508   0.0000474   0.0000481
 -43.5   0.0000572   0.0000730   0.0000511   0.0000487   0.0000482
 -43.4   0.0000580   0.0000621   0.0000521   0.0000495   0.0000495
 -43.3   0.0000685   0.0000628   0.0000534   0.0000483   0.0000512
 -43.2   0.0000623   0.0000632   0.0000620   0.0000508   0.0000517
 -43.1   0.0000970   0.0000659   0.0000557   0.0000587   0.0000513
 -43.0   0.0000774   0.0000714   0.0000622   0.0000549   0.0000541
 -42.9   0.0000821   0.0000622   0.0000583   0.0000565   0.0000563
 -42.8   0.0000810   0.0000697   0.0000598   0.0000607   0.0000576
 -42.7   0.0000856   0.0000734   0.0000613   0.0000604   0.0000586
 -42.6   0.0000720   0.0000886   0.0000671   0.0000618   0.0000599
 -42.5   0.0000761   0.0000840   0.0000633   0.0000621   0.0000622
 -42.4   0.0000775   0.0000863   0.0000654   0.0000618   0.0000619
 -42.3   0.0000812   0.0000666   0.0000657   0.0000683   0.0000633
 -42.2   0.0000960   0.0000954   0.0000699   0.0000692   0.0000659
 -42.1   0.0000899   0.0000861   0.0000660   0.0000685   0.0000673
 -42.0   0.0001018   0.0001118   0.0000688   0.0000700   0.0000700
 -41.9   0.0001034   0.0000934   0.0000770   0.0000704   0.0000723
 -41.8   0.0000850   0.0001066   0.0000731   0.0000722   0.0000728
 -41.7   0.0000916   0.0000968   0.0000770   0.0000782   0.0000726
 -41.6   0.0000951   0.0000878   0.0000798   0.0000727   0.0000745
 -41.5   0.0001026   0.0001146   0.0000840   0.0000740   0.0000751
 -41.4   0.0000914   0.0001002   0.0000820   0.0000814   0.0000787
 -41.3   0.0001180   0.0001120   0.0000826   0.0000819   0.0000799
 -41.2   0.0000919   0.0001218   0.0000881   0.0000829   0.0000827
 -41.1   0.0001016   0.0001070   0.0000879   0.0000845   0.0000839
 -41.0   0.0001126   0.0000991   0.0000821   0.0000857   0.0000868
 -40.9   0.0001286   0.0001144   0.0000908   0.0000889   0.0000901
 -40.8   0.0001020   0.0001150   0.0000975   0.0000934   0.0000901
 -40.7   0.0001360   0.0001321   0.0000973   0.0000953   0.0000919
 -40.6   0.0001362   0.0001294   0.0000930   0.0000973   0.0000957
 -40.5   0.0001294   0.0001270   0.0000951   0.0000969   0.0000972
 -40.4   0.0001386   0.0001481   0.0001120   0.0000977   0.0000989
 -40.3   0.0001511   0.0001266   0.0001124   0.0000998   0.0001007
 -40.2   0.0001328   0.0001349   0.0001068   0.0000988   0.0001033
 -40.1   0.0001599   0.0001261   0.0001113   0.0001062   0.0001071
 -40.0   0.0001576   0.0001521   0.0001150   0.0001050   0.0001092
 -39.9   0.0001464   0.0001607   0.0001202   0.0001155   0.0001112
 -39.8   0.0001376   0.0001606   0.0001258   0.0001203   0.0001147
 -39.7   0.0001506   0.0001553   0.0001292   0.0001161   0.0001162
 -39.6   0.0001588   0.0001503   0.0001262   0.0001239   0.0001200
 -39.5   0.0001495   0.0001796   0.0001236   0.0001217   0.0001251
 -39.4   0.0001706   0.0001757   0.0001351   0.0001214   0.0001236
 -39.3   0.0001745   0.0001690   0.0001229   0.0001312   0.0001266
 -39.2   0.0001626   0.0001614   0.0001481   0.0001332   0.0001310
 -39.1   0.0001708   0.0001625   0.0001404   0.0001353   0.0001332
 -39.0   0.0001486   0.0001926   0.0001460   0.0001380   0.0001373
 -38.9   0.0001933   0.0001722   0.0001385   0.0001416   0.0001378
 -38.8   0.0001934   0.0001724   0.0001586   0.0001453   0.0001425
 -38.7   0.0001797   0.0001934   0.0001605   0.0001504   0.0001471
 -38.6   0.0001714   0.0002000   0.0001599   0.0001560   0.0001488
 -38.5   0.0001957   0.0002079   0.0001588   0.0001545   0.0001517
 -38.4   0.0002120   0.0002087   0.0001625   0.0001577   0.0001555
 -38.3   0.0002053   0.0002159   0.0001704   0.0001610   0.0001612
 -38.2   0.0002079   0.0002312   0.0001747   0.0001680   0.0001640
 -38.1   0.0002112   0.0002315   0.0001795   0.0001708   0.0001651
 -38.0   0.0002400   0.0001994   0.0001790   0.0001747   0.0001735
 -37.9   0.0002212   0.0002227   0.0001924   0.0001816   0.0001761
 -37.8   0.0002126   0.0002290   0.0001864   0.0001865   0.0001804
 -37.7   0.0002497   0.0002278   0.0001940   0.0001894   0.0001847
 -37.6   0.0002489   0.0002244   0.0002004   0.0001862   0.0001883
 -37.5   0.0002663   0.0002603   0.0002200   0.0001940   0.0001964
 -37.4   0.0002430   0.0002339   0.0001987   0.0001968   0.0001989
 -37.3   0.0002779   0.0002729   0.0002166   0.0002063   0.0002022
 -37.2   0.0003013   0.0002772   0.0002327   0.0002137   0.0002087
 -37.1   0.0002777   0.0003007   0.0002302   0.0002117   0.0002138
 -37.0   0.0002494   0.0002706   0.0002272   0.0002177   0.0002143
 -36.9   0.0003078   0.0002810   0.0002400   0.0002231   0.0002245
 -36.8   0.0003192   0.0002896   0.0002396   0.0002288   0.0002266
 -36.7   0.0003460   0.0003096   0.0002493   0.0002390   0.0002359
 -36.6   0.0003038   0.0003177   0.0002487   0.0002367   0.0002382
 -36.5   0.0002904   0.0002937   0.0002698   0.0002449   0.0002465
 -36.4   0.0003503   0.0003518   0.0002630   0.0002557   0.0002462
 -36.3   0.0003321   0.0003555   0.0002869   0.0002563   0.0002535
 -36.2   0.0003623   0.0003281   0.0002832   0.0002596   0.0002624
 -36.1   0.0003419   0.0003950   0.0002869   0.0002684   0.0002699
 -36.0   0.0003271   0.0003865   0.0002938   0.0002794   0.0002712
 -35.9   0.0003778   0.0003876   0.0002953   0.0002866   0.0002758
 -35.8   0.0003411   0.0003521   0.0002972   0.0002890   0.0002880
 -35.7   0.0004081   0.0003931   0.0003068   0.0002958   0.0002934
 -35.6   0.0003856   0.0004061   0.0003130   0.0003069   0.0003004
 -35.5   0.0004253   0.0003820   0.0003203   0.0003130   0.0003041
 -35.4   0.0003981   0.0004490   0.0003355   0.0003214   0.0003127
 -35.3   0.0004418   0.0004291   0.0003361   0.0003316   0.0003193
 -35.2   0.0004444   0.0004356   0.0003403   0.0003374   0.0003220
 -35.1   0.0004409   0.0004689   0.0003570   0.0003405   0.0003367
 -35.0   0.0004144   0.0004623   0.0003746   0.0003457   0.0003448
 -34.9   0.0004470   0.0004582   0.0003761   0.0003525   0.0003490
 -34.8   0.0005091   0.0004719   0.0003828   0.0003663   0.0003567
 -34.7   0.0004856   0.0004923   0.0003795   0.0003722   0.0003659
 -34.6   0.0005140   0.0005174   0.0003833   0.0003863   0.0003751
 -34.5   0.0005273   0.0005243   0.0004044   0.0003927   0.0003830
 -34.4   0.0004946   0.0005395   0.0004224   0.0003953   0.0003967
 -34.3   0.0005488   0.0005477   0.0004139   0.0003984   0.0004010
 -34.2   0.0005374   0.0005278   0.0004464   0.0004181   0.0004113
 -34.1   0.0005579   0.0005612   0.0004597   0.0004299   0.0004212
 -34.0   0.0005862   0.0005732   0.0004630   0.0004372   0.0004353
 -33.9   0.0005748   0.0005952   0.0004723   0.0004378   0.0004458
 -33.8   0.0006354   0.0005704   0.0004944   0.0004515   0.0004547
 -33.7   0.0006191   0.0006030   0.0004951   0.0004651   0.0004621
 -33.6   0.0006490   0.0006325   0.0004840   0.0004733   0.0004724
 -33.5   0.0006524   0.0006220   0.0005278   0.0004907   0.0004825
 -33.4   0.0006025   0.0006329   0.0005289   0.0004995   0.0004971
 -33.3   0.0006874   0.0006554   0.0005360   0.0005125   0.0005096
 -33.2   0.0006956   0.0007179   0.0005402   0.0005306   0.0005184
 -33.1   0.0007051   0.0006996   0.0005590   0.0005300   0.0005298
 -33.0   0.0006826   0.0007531   0.0005830   0.0005576   0.0005491
 -32.9   0.0008023   0.0007689   0.0005964   0.0005611   0.0005603
 -32.8   0.0007513   0.0007358   0.0006016   0.0005803   0.0005682
 -32.7   0.0008175   0.0007882   0.0006104   0.0005856   0.0005823
 -32.6   0.0008480   0.0007927   0.0006500   0.0006050   0.0005964
 -32.5   0.0008143   0.0008034   0.0006581   0.0006150   0.0006106
 -32.4   0.0008036   0.0008308   0.0006551   0.0006340   0.0006247
 -32.3   0.0009083   0.0008308   0.0006888   0.0006448   0.0006388
 -32.2   0.0008672   0.0008832   0.0006852   0.0006611   0.0006532
 -32.1   0.0008671   0.0009255   0.0007088   0.0006699   0.0006687
 -32.0   0.0008737   0.0008524   0.0007230   0.0006937   0.0006859
 -31.9   0.0009070   0.0009068   0.0007514   0.0007066   0.0007047
 -31.8   0.0009142   0.0009554   0.0007675   0.0007330   0.0007178
 -31.7   0.0009703   0.0009718   0.0007673   0.0007327   0.0007320
 -31.6   0.0009875   0.0010168   0.0008055   0.0007543   0.0007486
 -31.5   0.0010322   0.0010131   0.0008149   0.0007728   0.0007737
 -31.4   0.0010745   0.0010314   0.0008383   0.0007990   0.0007819
 -31.3   0.0010732   0.0011344   0.0008531   0.0008175   0.0008036
 -31.2   0.0010479   0.0011173   0.0009031   0.0008271   0.0008252
 -31.1   0.0010688   0.0010861   0.0009056   0.0008561   0.0008406
 -31.0   0.0011768   0.0011410   0.0009132   0.0008707   0.0008603
 -30.9   0.0012052   0.0011576   0.0009305   0.0008911   0.0008851
 -30.8   0.0011911   0.0011577   0.0009426   0.0009191   0.0009078
 -30.7   0.0013148   0.0012025   0.0009750   0.0009293   0.0009186
 -30.6   0.0012477   0.0012187   0.0009852   0.0009624   0.0009473
 -30.5   0.0012379   0.0012709   0.0010112   0.0010050   0.0009687
 -30.4   0.0013137   0.0013667   0.0010647   0.0009975   0.0009876
 -30.3   0.0013163   0.0013529   0.0010742   0.0010194   0.0010181
 -30.2   0.0013597   0.0013885   0.0011066   0.0010496   0.0010332
 -30.1   0.0014015   0.0014229   0.0011369   0.0010722   0.0010603
 -30.0   0.0014342   0.0014559   0.0011633   0.0010972   0.0010850
 -29.9   0.0015279   0.0014204   0.0012063   0.0011182   0.0011144
 -29.8   0.0014643   0.0015001   0.0012075   0.0011507   0.0011387
 -29.7   0.0015454   0.0015263   0.0012607   0.0011754   0.0011746
 -29.6   0.0016006   0.0015780   0.0012726   0.0011935   0.0011868
 -29.5   0.0015727   0.0015978   0.0012893   0.0012249   0.0012174
 -29.4   0.0016170   0.0016582   0.0013078   0.0012678   0.0012468
 -29.3   0.0017356   0.0016460   0.0013520   0.0012932   0.0012749
 -29.2   0.0017063   0.0016923   0.0014063   0.0013202   0.0013111
 -29.1   0.0017033   0.0018027   0.0013859   0.0013543   0.0013380
 -29.0   0.0018447   0.0018538   0.0014406   0.0013681   0.0013727
 -28.9   0.0018505   0.0018114   0.0014736   0.0014200   0.0013929
 -28.8   0.0018284   0.0019189   0.0015172   0.0014545   0.0014314
 -28.7   0.0019606   0.0019750   0.0015421   0.0014860   0.0014682
 -28.6   0.0019909   0.0020786   0.0015947   0.0015135   0.0015027
 -28.5   0.0019948   0.0020845   0.0016270   0.0015499   0.0015325
 -28.4   0.0020379   0.0020629   0.0016640   0.0015841   0.0015690
 -28.3   0.0021386   0.0021051   0.0017040   0.0016074   0.0016086
 -28.2   0.0021420   0.0021497   0.0017836   0.0016528   0.0016419
 -28.1   0.0023738   0.0022064   0.0017816   0.0017292   0.0016711
 -28.0   0.0023126   0.0022782   0.0018535   0.0017406   0.0017190
 -27.9   0.0023817   0.0022712   0.0018665   0.0017827   0.0017647
 -27.8   0.0024210   0.0023596   0.0019104   0.0018401   0.0018055
